Orchard Code,Variety,Sum of 2022 USDA Mt Lbs,Sum of 2023 USDA Mt Lbs,Sum of 2024 USDA Mt Lbs,Sum of 2022 Incoming,Sum of 2022 USDA Mt Lbs,Sum of 2023 Incoming,Sum of 2023 USDA Mt Lbs,Sum of 2024 Incoming,Sum of 2024 USDA Mt Lbs
 TOP,Sonora,0,24076,,0,0,115420,24076,,
 TOP,Wood Colony,0,23879,,0,0,107320,23879,,
 WFP,Fritz,0,17426,,0,0,90440,17426,,
 WFP,Nonpareil,0,16607,,0,0,82220,16607,,
505 North,Aldrich,0,0,21305,0,0,0,0,86940,21305
505 North,Bennett-Hickman,0,0,23647,0,0,0,0,106860,23647
505 North,Monterey,0,0,43982,0,0,0,0,189300,43982
505 North,Nonpareil,0,0,82098,0,0,0,0,380240,82098
505 SOUTH,Aldrich,8391,0,42975,48720,8391,0,0,163360,42975
505 SOUTH,Bennett-Hickmann,0,0,27893,0,0,0,0,130260,27893
505 SOUTH,Monterey,0,0,54606,0,0,0,0,211420,54606
505 SOUTH,Montery,10554,0,,52060,10554,0,0,,
505 SOUTH,Nonpareil,32944,0,138466,219820,32944,0,0,567480,138466
BALBOA,Bennett-Hickman,0,0,7285,0,0,0,0,37020,7285
BALBOA,Independence,0,0,53848,0,0,0,0,223940,53848
BALBOA,Nonpareil,0,0,18719,0,0,0,0,126620,18719
BALBOA,Sonora,0,0,7222,0,0,0,0,32240,7222
BI-1,Aldrich,7182,0,9932,24140,7182,0,0,39200,9932
BI-1,Butte,6122,0,9115,27820,6122,0,0,40480,9115
BI-1,Fritz,26959,0,50091,136060,26959,0,0,221260,50091
BI-1,Monterey,33593,0,50208,152600,33593,0,0,205380,50208
BI-1,Nonpareil,85690,0,156888,388780,85690,0,0,637629,156888
BRS-250,Carmel,25175,0,29655,115780,25175,0,0,121840,29655
BRS-250,Monterey,29131,0,32474,128520,29131,0,0,142240,32474
BRS-250,Nonpareil,96616,0,113638,428800,96616,0,0,492960,113638
BRS-250,Sonora,21635,0,39227,104920,21635,0,0,143820,39227
BRU-1A,Independence,0,0,31804,0,0,0,0,169040,31804
BRU-2A,Aldrich,31066,0,,112220,31066,0,0,,
BRU-2A,Fritz,23249,0,,110540,23249,0,0,,
BRU-2A,Nonpareil,118618,0,,509640,118618,0,0,,
BYRD,Carmel,14706,0,13858,64820,14706,0,0,66700,13858
BYRD,Monterey,35866,0,32365,158500,35866,0,0,155040,32365
BYRD,Nonpareil,66748,0,92266,316100,66748,0,0,418940,92266
BYRD,Sonora,11689,0,21350,53740,11689,0,0,85280,21350
C & H 2,Aldrich,7011,0,,24620,7011,0,0,,
C & H 2,Butte,1997,0,,8400,1997,0,0,,
C & H 2,Carmel,849,0,,6140,849,0,0,,
C & H 2,Fritz,5216,0,,21440,5216,0,0,,
C & H 2,Nonpareil,21062,0,,91640,21062,0,0,,
C & H 3,Carmel,27985,0,,120420,27985,0,0,,
C & H 3,Monterey,53003,0,,263640,53003,0,0,,
C & H 3,Nonpareil,128870,0,,613740,128870,0,0,,
C & H 3,Sonora,19773,0,,94660,19773,0,0,,
C&H 2,Aldrich,0,0,4338,0,0,0,0,17360,4338
C&H 2,Fritz,0,0,2227,0,0,0,0,19740,2227
C&H 2,Nonpareil,0,0,17104,0,0,0,0,68480,17104
C&H 3,Carmel,0,0,20369,0,0,0,0,90900,20369
C&H 3,Monterey,0,0,48619,0,0,0,0,220120,48619
C&H 3,Nonpareil,0,0,140084,0,0,0,0,624900,140084
C&H 3,Sonora,0,0,27501,0,0,0,0,115180,27501
DAF,Aldrich,6781,0,,28620,6781,0,0,,
DAF,Carmel,1258,0,,5500,1258,0,0,,
DAF,Nonpareil,26217,0,,138200,26217,0,0,,
DAF,Sonora,2492,0,,13720,2492,0,0,,
DAF 1,Aldrich,0,0,17777,0,0,0,0,75900,17777
